# Aircraft: Aeroscout
# Date Generated: 2025-03-24 12:12:58
# Reference Area (ft^2): 2.265625
# Longitudinal Reference Length (ft): 0.6259
# Lateral Reference Length (ft): 3.625
parameter,independent_variables,3
parameter,coordinate_system,body

rudder[deg],beta[deg],alpha[deg],Cx,Cy,Cz,Cl,Cm,Cn
-8.333333333333332,20.0,-5.0,-0.0029491545116613997,-0.024963339696633002,-0.0018935070790760122,-0.0012443367306242022,-0.0036198974478879875,0.011908679119531002
-8.333333333333332,20.0,0.0,-0.0033903894023707476,-0.024213674027875998,-0.0014603243406869915,-0.0012253310667725992,-0.0022732206739769917,0.0116022146419782
-8.333333333333332,20.0,5.0,-0.0038545754652531995,-0.023433998402558,-0.0010052705659009398,-0.00122628899829999,-0.0007010864956459029,0.0112872906808393
-8.333333333333332,20.0,10.0,-0.004174200118655005,-0.022485485375283,-0.0003428020122100417,-0.0012223871330873,0.0013590765167510038,0.010926132072387202
-8.333333333333332,20.0,15.0,-0.004536996697652007,-0.02151476005573799,-2.249331654002873e-05,-0.0011945272354776035,0.00254994457638702,0.010548210378015802
-8.333333333333332,20.0,20.0,-0.004952678742043026,-0.020281994291534988,0.00032799938049010713,-0.001157791021461796,0.003770390894151987,0.010034426416751598
0.0,-20.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-20.0,-15.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-20.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-20.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-20.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-20.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-20.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-10.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-10.0,-15.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-10.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-10.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-10.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-10.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-15.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,10.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,10.0,-15.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,10.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,10.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,10.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,20.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,20.0,-15.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,20.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,20.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,20.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,20.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,20.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
8.333333333333336,-20.0,-20.0,-0.003308268145860993,0.02425111444544298,-0.00033731165451000855,0.001473528524251394,0.00017423007883299313,-0.0114195504304467
8.333333333333336,-20.0,-15.0,-0.003066557576983986,0.025091929688297016,-0.001064046793008977,0.001379983670209195,-0.0017102106902739944,-0.011839578230502495
8.333333333333336,-20.0,-10.0,-0.0029277639724724983,0.02533961648122099,-0.0017643444147280585,0.0013129742297183014,-0.003421258612384015,-0.012013153094162399
8.333333333333336,-20.0,-5.0,-0.0029491545116613997,0.024963339696633002,-0.0018935070790760122,0.0012443367306242022,-0.0036198974478869883,-0.011908679119531002
8.333333333333336,-20.0,0.0,-0.003390389402370844,0.024213674027876997,-0.0014603243406870192,0.001225331066772601,-0.0022732206739769917,-0.011602214641978303
8.333333333333336,-20.0,5.0,-0.0038545754652531995,0.023433998402558,-0.0010052705659000516,0.0012262889982999601,-0.000701086495646798,-0.0112872906808393
8.333333333333336,-20.0,10.0,-0.004174200118655005,0.022485485375283,-0.0003428020122100417,0.0012223871330875012,0.001359076516752003,-0.010926132072387202
8.333333333333336,-20.0,15.0,-0.004536996697652007,0.02151476005573799,-2.249331654002873e-05,0.0011945272354774022,0.00254994457638702,-0.010548210378015899
8.333333333333336,-20.0,20.0,-0.004952678742043026,0.020281994291534988,0.0003279993804801151,0.0011577910214616988,0.0037703908941510433,-0.010034426416751806
8.333333333333336,-10.0,-20.0,-0.0029354362080050156,0.022707835227503997,-0.00010715232036995204,0.0013038033948723979,0.0007723554869379923,-0.010716482020666999
8.333333333333336,-10.0,-15.0,-0.002821279573204022,0.023387548333258,-0.0004944506012619643,0.0012180635589428002,-0.00023658033827400615,-0.011057222601734498
8.333333333333336,-10.0,-10.0,-0.0028329289161820037,0.02355685402836101,-0.0007499281200710195,0.001157648955142903,-0.0008613125299599955,-0.011185968385539601
8.333333333333336,-10.0,-5.0,-0.0027694521204474198,0.02324982104293341,-0.0007677975286770056,0.0011154109660770975,-0.0008228727317089735,-0.0111167603358382
8.333333333333336,-10.0,0.0,-0.0029398887487923006,0.022217216394091396,-0.0005312934278389747,0.0010687825150719693,-9.202630244398158e-05,-0.01071050874918764
8.333333333333336,-10.0,5.0,-0.0031552386034136987,0.021022445482448998,-0.00025844757430992793,0.00103769191905608,0.0007910147467379003,-0.010230926964213152
8.333333333333336,-10.0,10.0,-0.003363235928891997,0.020038041958819697,-1.018276878994584e-05,0.001026768540258901,0.0016322317886000026,-0.009848844437668201
