# Aircraft: RC BIRE
# Date Generated: 2025-04-30 14:43:18
# Ventral Fins: False
# BIRE Angle Range: -45 to 45 deg
# Reference Area (ft^2): 2.98
# Longitudinal Reference Length (ft): 1.097
# Lateral Reference Length (ft): 3
parameter,independent_variables,4
parameter,coordinate_system,body

BIRE[deg],elevator[deg],beta[deg],alpha[deg],Cx,Cy,Cz,Cl,Cm,Cn
-45.0,-20.0,0.0,5.0,-0.0340929873684044,0.0858003767819967,0.08742808625658405,-0.001846881637504777,0.12256778733335921,-0.04692227303780684
-45.0,-20.0,0.0,10.0,-0.033996682530122196,0.0886615008135375,0.08547155019139097,-0.00428302900786751,0.1193377144810838,-0.048434852877405496
-45.0,-20.0,0.0,15.0,-0.0323290766388935,0.0951758950930584,0.088943038597189,-0.00581020524731407,0.1229460568657539,-0.0520235790223638
-45.0,-20.0,0.0,20.0,-0.031055405176843805,0.1032231657609271,0.09473623632631001,-0.00661140413052802,0.1300655758624608,-0.0563945481214686
-45.0,-20.0,10.0,-20.0,-0.034775363772117915,0.0819981386298251,0.11383423139339999,0.01263376676190261,0.15834645407292008,-0.044164345826965004
-45.0,-20.0,10.0,-15.0,-0.034632277357707505,0.0854266262154119,0.10915730168737203,0.009871254436352304,0.15213407789027478,-0.0462418382235902
-45.0,-20.0,10.0,-10.0,-0.03528680446090692,0.0844571864491318,0.10347537476905094,0.00793755430492261,0.14449449179835852,-0.04599375341927949
-45.0,-20.0,10.0,-5.0,-0.0348637194472172,0.0807348192685581,0.09763759764395602,0.00697755123901026,0.1366354824017829,-0.04398221928367091
-45.0,-20.0,10.0,0.0,-0.032087893280117394,0.07986703561590869,0.0961664742837803,0.00525452869477876,0.1353615735840494,-0.0434610997022646
-45.0,-20.0,10.0,5.0,-0.030263931864847195,0.08439000708963901,0.097463394349392,0.0029156160638478005,0.1375351335085699,-0.045862920843441304
-45.0,-20.0,10.0,10.0,-0.02919952094769254,0.0906390908080347,0.09928977708846198,0.0009634625882158805,0.1395019851577686,-0.049410082436295036
-45.0,-20.0,10.0,15.0,-0.028649158002260006,0.09888881357664,0.10425168439199206,-0.0004011766745038404,0.145543718248877,-0.05406150899115135
-45.0,-20.0,10.0,20.0,-0.0285373678904723,0.1073398035642033,0.10904224742053992,-0.0018224101685859898,0.15108847486701202,-0.058731768164599796
-45.0,-20.0,20.0,-20.0,-0.029461770408754,0.076949412048058,0.11830573042307102,0.015167474994428241,0.16442281450163698,-0.040271444530467465
-45.0,-20.0,20.0,-15.0,-0.0285224643395881,0.07490322592546908,0.11341029549621606,0.01450289785467199,0.1579943189637618,-0.0393663938811769
-45.0,-20.0,20.0,-10.0,-0.0284003441741178,0.07518785963504211,0.11007209523401901,0.01326576945148833,0.1536749927551107,-0.0397573457351227
-45.0,-20.0,20.0,-5.0,-0.0277466229053125,0.07879298775515399,0.1097482831730382,0.011147570276445959,0.1542384802752546,-0.0418412781700111
-45.0,-20.0,20.0,0.0,-0.026340576215306402,0.083712827004715,0.1120739017079993,0.00874547436836873,0.1586084219407593,-0.044569813568644014
-45.0,-20.0,20.0,5.0,-0.0261249726280083,0.08994466520333,0.11526224227302395,0.00657230238121875,0.16346169897913498,-0.04808707977002746
-45.0,-20.0,20.0,10.0,-0.026627989182552797,0.097340000129018,0.119395833018201,0.0047947372985322,0.16901666443175203,-0.052316485660778
-45.0,-20.0,20.0,15.0,-0.027533554855009697,0.10597234270033501,0.12455214710963791,0.00343657381743354,0.17555319086295398,-0.0572779225175019
-45.0,-20.0,20.0,20.0,-0.028208115081977,0.11469788142173298,0.12822332187891017,0.0018349928642051004,0.17920087111787103,-0.062347751732543796
-45.0,-10.0,-20.0,-20.0,-0.02180769334132099,0.07051924524710895,0.07207929350567,-0.0013675802972066599,0.10272012822250703,-0.038510000915278994
